1	0.04	0	110	
2	0.06	0	66.6737	
3	0.08	0	31.1849	
4	0.1	0	0	
5	0	0.02	110	
6	0.02	0.02	110	
7	0.04	0.02	110	
8	0.06	0.02	62.755	
9	0.08	0.02	29.033	
10	0.1	0.02	0	
11	0	0.04	77.3592	
12	0.02	0.04	75.469	
13	0.04	0.04	67.8272	
14	0.06	0.04	45.3132	
15	0.08	0.04	22.1921	
16	0.1	0.04	0	
17	0	0.06	48.4989	
18	0.02	0.06	46.6897	
19	0.04	0.06	40.5265	
20	0.06	0.06	28.4785	
21	0.08	0.06	14.4223	
22	0.1	0.06	0	
23	0	0.08	23.2569	
24	0.02	0.08	22.2643	
25	0.04	0.08	19.1107	
26	0.06	0.08	13.6519	
27	0.08	0.08	7.01855	
28	0.1	0.08	0	
29	0	0.1	0	
30	0.02	0.1	0	
31	0.04	0.1	0	
32	0.06	0.1	0	
33	0.08	0.1	0	
34	0.1	0.1	0	
